machine_id,machine_type,timestamp,temperature_c,vibration_mm_s,pressure_bar,rpm,power_consumption_kw,noise_db,humidity_pct,is_failure,failure_within_24h,failure_within_7d
MACHINE_001,Compressor,2024-01-01 00:00:00,51.83,1.746,102.47,2013.4,8.67,67.6,51.0,0,0,0
MACHINE_001,Compressor,2024-01-01 01:00:00,50.3,1.517,101.76,1959.7,8.99,72.9,53.7,0,0,0
MACHINE_001,Compressor,2024-01-01 02:00:00,46.37,1.707,102.07,1996.7,13.8,63.1,49.8,0,0,0
MACHINE_001,Compressor,2024-01-01 03:00:00,48.21,1.708,112.21,2026.4,24.39,79.4,67.6,0,0,0
MACHINE_001,Compressor,2024-01-01 04:00:00,50.15,1.687,103.53,1996.5,10.43,80.7,44.3,0,0,0
MACHINE_001,Compressor,2024-01-01 05:00:00,46.41,1.683,105.62,2020.3,20.43,61.9,44.3,0,0,0
MACHINE_001,Compressor,2024-01-01 06:00:00,49.33,1.767,100.56,1978.6,17.75,82.2,48.9,0,0,0
MACHINE_001,Compressor,2024-01-01 07:00:00,50.61,1.749,113.99,1984.1,5.51,62.7,31.3,0,0,0
MACHINE_001,Compressor,2024-01-01 08:00:00,48.85,1.471,108.31,1992.1,6.54,67.2,36.4,0,0,0
MACHINE_001,Compressor,2024-01-01 09:00:00,49.67,1.785,107.99,2006.0,11.36,62.8,39.1,0,0,0
MACHINE_001,Compressor,2024-01-01 10:00:00,49.26,1.696,99.63,1994.1,11.75,83.6,42.9,0,0,0
MACHINE_001,Compressor,2024-01-01 11:00:00,46.78,1.81,103.82,1969.0,10.7,60.9,54.4,0,0,0
MACHINE_001,Compressor,2024-01-01 12:00:00,48.28,1.7,107.3,2017.5,19.56,69.2,55.3,0,0,0
MACHINE_001,Compressor,2024-01-01 13:00:00,46.91,1.677,108.99,2020.0,15.24,65.7,55.8,0,0,0
MACHINE_001,Compressor,2024-01-01 14:00:00,46.83,1.825,101.52,1996.1,22.55,66.4,56.4,0,0,0
MACHINE_001,Compressor,2024-01-01 15:00:00,51.4,1.923,99.55,2026.3,19.52,82.4,65.5,0,0,0
MACHINE_001,Compressor,2024-01-01 16:00:00,47.31,1.693,104.75,1988.2,8.22,73.7,57.7,0,0,0
MACHINE_001,Compressor,2024-01-01 17:00:00,50.14,1.574,106.18,2027.9,18.15,74.2,33.7,0,0,0
MACHINE_001,Compressor,2024-01-01 18:00:00,46.89,1.588,104.7,2019.0,15.05,74.4,49.7,0,0,0
MACHINE_001,Compressor,2024-01-01 19:00:00,46.74,1.767,103.5,2017.3,24.27,81.3,41.8,0,0,0
MACHINE_001,Compressor,2024-01-01 20:00:00,47.78,1.755,104.39,2010.2,6.94,75.4,69.6,0,0,0
MACHINE_001,Compressor,2024-01-01 21:00:00,50.78,1.675,101.0,2030.1,21.19,80.3,64.7,0,0,0
MACHINE_001,Compressor,2024-01-01 22:00:00,49.7,2.055,106.74,2015.5,11.76,69.4,33.8,0,0,0
MACHINE_001,Compressor,2024-01-01 23:00:00,48.59,1.616,102.63,2004.1,21.45,69.0,35.1,0,0,0
MACHINE_001,Compressor,2024-01-02 00:00:00,47.24,1.737,104.01,1989.5,17.75,78.2,69.0,0,0,0
MACHINE_001,Compressor,2024-01-02 01:00:00,50.76,1.607,101.56,2035.7,8.13,66.3,52.0,0,0,0
MACHINE_001,Compressor,2024-01-02 02:00:00,46.15,1.761,110.24,2023.1,9.95,68.9,60.3,0,0,0
MACHINE_001,Compressor,2024-01-02 03:00:00,48.19,1.857,99.99,2000.4,12.97,75.4,55.4,0,0,0
MACHINE_001,Compressor,2024-01-02 04:00:00,51.55,1.526,100.93,2011.7,17.85,60.7,53.4,0,0,0
MACHINE_001,Compressor,2024-01-02 05:00:00,44.87,1.798,105.93,2003.9,24.22,82.6,37.8,0,0,0
MACHINE_001,Compressor,2024-01-02 06:00:00,49.23,1.607,102.11,2019.5,18.93,75.7,65.1,0,0,0
MACHINE_001,Compressor,2024-01-02 07:00:00,47.41,1.757,98.51,1978.1,11.82,83.3,64.3,0,0,0
MACHINE_001,Compressor,2024-01-02 08:00:00,50.32,1.751,107.79,2002.9,22.91,69.7,30.4,0,0,0
MACHINE_001,Compressor,2024-01-02 09:00:00,48.13,1.608,109.61,2023.8,10.86,68.2,56.9,0,0,0
MACHINE_001,Compressor,2024-01-02 10:00:00,49.92,1.732,104.1,1989.0,22.75,68.8,34.7,0,0,0
MACHINE_001,Compressor,2024-01-02 11:00:00,49.9,1.805,102.57,2006.6,19.12,62.0,33.4,0,0,0
MACHINE_001,Compressor,2024-01-02 12:00:00,45.77,1.529,101.72,1998.2,16.17,70.6,66.3,0,0,0
MACHINE_001,Compressor,2024-01-02 13:00:00,48.06,1.669,107.69,2017.9,24.24,69.4,41.4,0,0,0
MACHINE_001,Compressor,2024-01-02 14:00:00,49.12,1.671,103.95,2012.5,18.91,71.4,55.1,0,0,0
