ticker,sector,date,open,high,low,close,volume
AAPL,Tech,2023-01-01,212.32,214.04,213.22,213.79,4496915
AAPL,Tech,2023-01-02,218.54,224.93,219.91,220.65,7042224
AAPL,Tech,2023-01-03,216.82,219.53,216.12,218.2,1933476
AAPL,Tech,2023-01-04,211.25,211.37,207.8,210.78,1863025
AAPL,Tech,2023-01-05,209.11,208.75,205.9,207.92,384761
AAPL,Tech,2023-01-06,206.2,206.46,201.91,205.76,3652500
AAPL,Tech,2023-01-07,201.76,206.18,201.12,203.39,8431116
AAPL,Tech,2023-01-08,201.55,207.14,200.42,203.44,1135165
AAPL,Tech,2023-01-09,198.47,200.56,195.16,198.39,9742343
AAPL,Tech,2023-01-10,199.77,202.21,197.58,201.42,3880087
AAPL,Tech,2023-01-11,196.56,200.73,194.92,197.46,671121
AAPL,Tech,2023-01-12,197.49,202.11,195.23,198.92,560710
AAPL,Tech,2023-01-13,202.25,204.44,197.6,201.33,7942577
AAPL,Tech,2023-01-14,199.49,200.52,195.4,198.05,2399540
AAPL,Tech,2023-01-15,196.76,200.33,196.02,197.45,2168652
AAPL,Tech,2023-01-16,195.76,200.08,196.32,197.26,8917559
AAPL,Tech,2023-01-17,203.23,205.38,200.93,203.26,4584452
AAPL,Tech,2023-01-18,202.96,205.79,203.34,203.72,2424152
AAPL,Tech,2023-01-19,202.67,202.56,197.92,201.64,733033
AAPL,Tech,2023-01-20,200.19,201.69,197.02,198.48,1979278
AAPL,Tech,2023-01-21,198.35,203.16,197.76,199.6,4477220
AAPL,Tech,2023-01-22,195.83,198.58,196.18,196.9,2355674
AAPL,Tech,2023-01-23,185.5,186.99,184.07,186.54,4618210
AAPL,Tech,2023-01-24,186.1,188.65,183.66,186.03,4896596
AAPL,Tech,2023-01-25,185.31,187.12,182.47,186.06,613230
AAPL,Tech,2023-01-26,184.7,187.41,186.03,186.37,38387487
AAPL,Tech,2023-01-27,184.28,187.96,181.53,184.32,2144681
AAPL,Tech,2023-01-28,187.64,191.38,186.24,188.63,6933900
AAPL,Tech,2023-01-29,194.16,194.37,193.39,194.02,13155174
AAPL,Tech,2023-01-30,188.53,192.53,189.05,190.28,1855569
AAPL,Tech,2023-01-31,189.37,192.86,187.26,190.41,2268117
AAPL,Tech,2023-02-01,188.63,187.52,184.54,187.0,15400867
AAPL,Tech,2023-02-02,186.35,188.8,184.11,185.76,5700826
AAPL,Tech,2023-02-03,178.42,183.11,179.52,179.88,3931902
AAPL,Tech,2023-02-04,174.26,177.33,174.43,174.79,10753343
AAPL,Tech,2023-02-05,176.25,176.05,172.81,175.75,4622509
AAPL,Tech,2023-02-06,174.9,177.0,175.45,176.64,7628497
AAPL,Tech,2023-02-07,183.87,184.14,182.26,183.32,5250495
AAPL,Tech,2023-02-08,181.54,183.0,180.11,180.65,1055549
AAPL,Tech,2023-02-09,182.22,185.07,181.01,183.71,21786323
AAPL,Tech,2023-02-10,187.53,190.01,185.17,187.03,2572543
AAPL,Tech,2023-02-11,185.0,188.83,183.46,186.14,49633132
AAPL,Tech,2023-02-12,185.18,189.89,186.22,186.39,2849711
AAPL,Tech,2023-02-13,183.85,189.09,183.52,185.65,6675805
AAPL,Tech,2023-02-14,183.64,187.19,181.55,184.06,7110263
AAPL,Tech,2023-02-15,186.55,187.52,183.35,184.94,940588
AAPL,Tech,2023-02-16,187.71,186.41,184.1,185.89,1455795
AAPL,Tech,2023-02-17,188.05,189.94,184.91,187.31,5727470
AAPL,Tech,2023-02-18,191.98,194.1,190.46,190.8,1787083
AAPL,Tech,2023-02-19,194.01,195.36,191.71,192.86,154041328
AAPL,Tech,2023-02-20,193.22,195.3,190.34,193.85,3898806
AAPL,Tech,2023-02-21,191.93,194.15,189.32,192.06,3547927
AAPL,Tech,2023-02-22,188.8,193.7,188.13,190.57,3541988
AAPL,Tech,2023-02-23,191.94,191.73,189.47,190.91,1112650
AAPL,Tech,2023-02-24,200.67,203.03,200.03,200.12,20653880
AAPL,Tech,2023-02-25,193.25,193.16,189.96,192.12,3939066
AAPL,Tech,2023-02-26,188.01,189.84,186.41,189.25,17215173
AAPL,Tech,2023-02-27,196.65,197.12,195.85,196.03,4901156
AAPL,Tech,2023-02-28,198.05,199.26,194.63,197.6,17044719
AAPL,Tech,2023-03-01,200.74,203.18,198.84,202.71,1610943
AAPL,Tech,2023-03-02,200.22,203.83,199.72,201.85,21252937
AAPL,Tech,2023-03-03,200.52,203.4,199.46,200.93,938667
AAPL,Tech,2023-03-04,201.02,202.53,199.94,200.51,2052019
AAPL,Tech,2023-03-05,194.99,199.21,192.85,196.68,5189269
AAPL,Tech,2023-03-06,199.62,200.87,197.9,199.32,3708339
AAPL,Tech,2023-03-07,209.76,209.53,207.76,207.93,464126
AAPL,Tech,2023-03-08,205.26,209.49,201.98,206.01,4023240
AAPL,Tech,2023-03-09,202.13,206.52,202.17,203.68,7645303
AAPL,Tech,2023-03-10,206.5,206.42,201.88,205.26,5846268
AAPL,Tech,2023-03-11,210.47,210.15,205.81,208.43,6018630
AAPL,Tech,2023-03-12,207.52,209.27,203.39,205.74,10448169
AAPL,Tech,2023-03-13,207.58,213.02,207.17,209.24,7374285
AAPL,Tech,2023-03-14,208.8,208.77,203.06,207.16,8445488
AAPL,Tech,2023-03-15,210.48,211.0,207.07,208.6,2870098
AAPL,Tech,2023-03-16,200.54,203.94,200.23,201.23,2091153
AAPL,Tech,2023-03-17,202.18,205.86,200.0,203.84,6127794
AAPL,Tech,2023-03-18,196.94,196.8,191.97,195.43,19200205
AAPL,Tech,2023-03-19,197.6,197.54,193.53,197.14,1860350
AAPL,Tech,2023-03-20,196.79,198.29,191.93,195.53,4008079
AAPL,Tech,2023-03-21,191.15,193.56,189.91,189.96,800135
AAPL,Tech,2023-03-22,185.97,190.45,185.88,187.53,12738142
AAPL,Tech,2023-03-23,189.36,192.72,187.07,190.84,2785844
AAPL,Tech,2023-03-24,186.9,188.78,187.01,188.33,3115201
AAPL,Tech,2023-03-25,192.15,191.81,187.67,190.39,15138306
AAPL,Tech,2023-03-26,190.93,189.22,189.06,189.17,5166347
AAPL,Tech,2023-03-27,188.5,192.22,190.0,190.12,3310442
AAPL,Tech,2023-03-28,199.64,200.67,197.38,198.86,4907261
AAPL,Tech,2023-03-29,200.59,203.57,202.23,202.43,3926825
AAPL,Tech,2023-03-30,202.57,203.21,198.8,202.09,8678064
AAPL,Tech,2023-03-31,193.93,193.9,193.5,193.6,1932345
AAPL,Tech,2023-04-01,187.46,188.84,183.17,186.29,4697196
AAPL,Tech,2023-04-02,183.04,184.61,178.0,181.47,20408433
AAPL,Tech,2023-04-03,182.42,184.87,178.21,181.29,2465188
AAPL,Tech,2023-04-04,176.82,178.12,174.6,175.17,12658916
AAPL,Tech,2023-04-05,165.91,166.85,166.22,166.67,1327364
AAPL,Tech,2023-04-06,167.66,169.92,166.27,166.77,3426262
AAPL,Tech,2023-04-07,164.58,168.97,164.5,165.81,660581
AAPL,Tech,2023-04-08,168.65,169.45,165.27,168.25,1061674
AAPL,Tech,2023-04-09,170.07,170.91,168.65,169.15,25327439
AAPL,Tech,2023-04-10,177.53,177.63,173.15,176.2,18912636
AAPL,Tech,2023-04-11,180.5,182.04,177.96,181.54,7864151
AAPL,Tech,2023-04-12,185.07,187.1,185.12,185.47,563127
AAPL,Tech,2023-04-13,187.37,187.79,184.9,186.31,372925
AAPL,Tech,2023-04-14,179.91,183.58,178.23,180.06,3092382
AAPL,Tech,2023-04-15,183.23,184.47,180.98,184.19,773595
AAPL,Tech,2023-04-16,184.45,186.91,185.25,185.63,1277122
AAPL,Tech,2023-04-17,192.09,194.1,189.64,193.35,2375313
AAPL,Tech,2023-04-18,190.16,191.74,188.03,191.4,1479370
AAPL,Tech,2023-04-19,185.5,187.88,184.85,186.01,2699203
AAPL,Tech,2023-04-20,184.87,186.87,180.05,183.5,4048997
AAPL,Tech,2023-04-21,187.64,187.4,183.76,186.71,1757910
AAPL,Tech,2023-04-22,186.22,187.15,183.78,185.78,327118
AAPL,Tech,2023-04-23,190.53,190.97,187.26,189.03,1217200
AAPL,Tech,2023-04-24,188.77,189.56,185.89,188.64,1257277
AAPL,Tech,2023-04-25,187.36,188.83,185.5,188.03,3116462
AAPL,Tech,2023-04-26,195.6,196.41,190.92,194.47,7894206
AAPL,Tech,2023-04-27,204.81,205.56,200.25,203.8,9016192
AAPL,Tech,2023-04-28,200.92,202.62,197.76,200.34,820115
AAPL,Tech,2023-04-29,199.49,200.96,197.15,200.55,3713054
AAPL,Tech,2023-04-30,196.8,199.17,194.77,198.04,2008451
AAPL,Tech,2023-05-01,190.04,188.65,185.96,188.23,6482664
AAPL,Tech,2023-05-02,184.92,188.64,185.89,186.15,6957920
AAPL,Tech,2023-05-03,193.0,196.83,190.7,193.85,16512234
AAPL,Tech,2023-05-04,191.02,191.91,187.61,190.99,537733
AAPL,Tech,2023-05-05,185.56,185.83,183.34,185.26,7258881
AAPL,Tech,2023-05-06,182.34,183.43,179.51,182.94,3427695
AAPL,Tech,2023-05-07,181.48,183.58,179.36,180.83,6991817
AAPL,Tech,2023-05-08,171.46,175.17,171.4,171.98,1473431
AAPL,Tech,2023-05-09,171.55,172.88,171.75,172.65,3574707
AAPL,Tech,2023-05-10,175.49,179.58,173.94,176.77,4216098
AAPL,Tech,2023-05-11,176.83,178.07,174.05,175.73,2376033
AAPL,Tech,2023-05-12,178.49,181.8,176.87,178.88,2359538
AAPL,Tech,2023-05-13,175.85,179.19,174.79,176.55,351396
AAPL,Tech,2023-05-14,177.38,179.72,177.46,177.79,2625808
AAPL,Tech,2023-05-15,176.27,176.93,172.41,174.73,4355462
AAPL,Tech,2023-05-16,176.43,177.88,175.63,176.0,2158042
AAPL,Tech,2023-05-17,173.72,175.24,173.48,174.38,4895468
AAPL,Tech,2023-05-18,175.63,177.78,172.41,174.71,2027557
AAPL,Tech,2023-05-19,178.04,180.12,178.3,179.3,2095625
AAPL,Tech,2023-05-20,183.21,184.49,179.77,182.5,12681285
AAPL,Tech,2023-05-21,180.19,180.82,176.59,178.73,1957317
AAPL,Tech,2023-05-22,179.91,183.29,179.37,181.16,3092267
AAPL,Tech,2023-05-23,181.86,183.88,178.95,180.52,3426039
AAPL,Tech,2023-05-24,183.1,182.9,180.8,182.34,4089298
AAPL,Tech,2023-05-25,178.38,180.86,177.28,177.54,21570304
AAPL,Tech,2023-05-26,175.81,177.04,171.07,174.12,2882628
AAPL,Tech,2023-05-27,182.68,183.25,180.61,183.05,5520354
AAPL,Tech,2023-05-28,179.57,182.73,177.09,179.43,624772
AAPL,Tech,2023-05-29,183.9,184.91,182.06,184.08,1441977
AAPL,Tech,2023-05-30,183.26,184.8,182.95,183.27,2488713
AAPL,Tech,2023-05-31,187.81,187.37,186.06,187.32,516636
