player_id,player_name,team,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,fg_pct,three_pt_pct,ft_pct,salary_millions,all_star
PLAYER_0001,Player 1,Suns,PF,21,41,11.7,5.3,2.6,9.1,1.3,1.4,0.0,0.531,0.352,0.707,2.93,0
PLAYER_0002,Player 2,Lakers,SF,21,56,28.2,14.2,3.3,5.9,0.2,0.0,4.5,0.402,0.321,0.69,19.72,0
PLAYER_0003,Player 3,Bulls,C,20,81,25.6,9.8,2.8,3.2,0.8,0.1,5.2,0.417,0.372,0.838,2.0,0
PLAYER_0004,Player 4,Bulls,C,31,60,18.9,2.5,2.9,8.3,0.2,0.0,0.8,0.325,0.27,0.843,7.71,0
PLAYER_0005,Player 5,Celtics,SG,19,67,21.1,11.3,4.1,3.7,1.1,0.5,1.3,0.528,0.396,0.582,5.82,0
PLAYER_0006,Player 6,Bucks,C,27,34,22.8,11.5,5.0,9.4,0.0,0.1,0.0,0.336,0.454,0.84,4.55,0
PLAYER_0007,Player 7,Warriors,C,20,61,34.2,3.5,2.4,8.5,1.0,1.0,2.4,0.499,0.487,0.768,3.5,0
PLAYER_0008,Player 8,Nets,PG,26,46,22.5,23.4,1.0,1.0,0.3,0.1,0.6,0.437,0.39,0.939,5.15,0
PLAYER_0009,Player 9,Heat,PG,35,75,11.1,11.2,2.5,5.2,0.9,0.3,0.1,0.53,0.398,0.724,2.83,0
PLAYER_0010,Player 10,Lakers,PF,24,43,24.1,9.5,1.6,5.2,4.1,0.3,2.5,0.415,0.388,0.943,4.78,0
PLAYER_0011,Player 11,Lakers,PF,26,58,38.1,2.7,2.1,3.8,0.1,0.2,0.2,0.488,0.431,0.627,5.38,0
PLAYER_0012,Player 12,Bucks,SG,27,60,20.5,28.5,8.0,3.3,1.3,1.1,3.3,0.499,0.472,0.773,8.83,1
PLAYER_0013,Player 13,Lakers,PG,22,52,10.5,19.4,1.3,5.1,0.7,0.1,0.7,0.556,0.437,0.846,6.26,0
