timestamp,consumption_kwh,temperature_c,humidity_pct,cloud_cover,wind_speed_ms,is_holiday
2024-01-01 00:00:00,143.86,7.0,70.1,16.0,0.5,0
2024-01-01 01:00:00,167.13,12.1,70.7,2.0,10.5,0
2024-01-01 02:00:00,144.88,9.0,64.5,30.0,2.2,0
2024-01-01 03:00:00,152.24,2.2,64.0,61.0,0.5,0
2024-01-01 04:00:00,152.77,3.1,74.2,20.0,2.2,0
2024-01-01 05:00:00,170.09,5.7,67.4,61.0,0.6,0
2024-01-01 06:00:00,170.77,6.5,63.8,12.0,2.1,0
2024-01-01 07:00:00,211.23,9.8,60.7,31.0,2.2,0
2024-01-01 08:00:00,162.43,8.0,70.5,9.0,0.7,0
2024-01-01 09:00:00,178.25,7.0,65.3,39.0,0.9,0
2024-01-01 10:00:00,157.87,10.5,68.5,14.0,4.9,0
2024-01-01 11:00:00,125.86,5.3,69.9,1.0,5.1,0
2024-01-01 12:00:00,156.02,10.2,62.6,86.0,2.9,0
2024-01-01 13:00:00,126.16,5.9,65.9,31.0,1.2,0
2024-01-01 14:00:00,135.75,11.4,66.5,12.0,3.7,0
2024-01-01 15:00:00,134.4,8.5,74.5,77.0,2.0,0
2024-01-01 16:00:00,79.26,9.8,67.3,31.0,2.1,0
2024-01-01 17:00:00,116.32,6.7,68.6,41.0,4.2,0
2024-01-01 18:00:00,112.34,5.9,71.4,80.0,0.6,0
2024-01-01 19:00:00,132.33,7.7,71.7,81.0,6.8,0
2024-01-01 20:00:00,117.96,6.4,64.9,82.0,5.9,0
2024-01-01 21:00:00,106.61,7.4,65.7,42.0,0.8,0
2024-01-01 22:00:00,124.36,5.0,66.0,52.0,3.6,0
2024-01-01 23:00:00,138.71,8.2,66.5,96.0,0.9,0
2024-01-02 00:00:00,107.62,7.3,67.1,5.0,1.0,0
2024-01-02 01:00:00,181.23,6.8,68.3,14.0,2.0,0
2024-01-02 02:00:00,169.06,9.6,70.8,37.0,3.0,0
2024-01-02 03:00:00,145.59,9.1,77.8,9.0,5.4,0
2024-01-02 04:00:00,151.53,5.7,67.3,68.0,0.1,0
2024-01-02 05:00:00,165.93,2.7,67.2,65.0,0.6,0
2024-01-02 06:00:00,165.99,12.0,62.9,92.0,6.3,0
2024-01-02 07:00:00,178.62,9.8,60.7,82.0,2.4,0
2024-01-02 08:00:00,158.24,7.9,68.1,34.0,1.3,0
2024-01-02 09:00:00,187.41,8.9,68.3,89.0,4.5,0
2024-01-02 10:00:00,154.58,8.1,68.3,1.0,0.5,0
2024-01-02 11:00:00,141.59,13.0,69.2,65.0,0.8,0
2024-01-02 12:00:00,125.94,9.7,72.6,65.0,5.7,0
2024-01-02 13:00:00,118.49,9.8,76.3,9.0,1.4,0
2024-01-02 14:00:00,110.22,4.9,66.4,89.0,3.0,0
2024-01-02 15:00:00,124.46,7.4,74.1,58.0,2.0,0
2024-01-02 16:00:00,127.94,4.8,61.5,94.0,9.2,0
2024-01-02 17:00:00,128.04,6.7,70.4,2.0,7.9,0
2024-01-02 18:00:00,131.57,7.2,62.6,85.0,1.1,0
2024-01-02 19:00:00,104.67,8.0,60.6,94.0,3.6,0
2024-01-02 20:00:00,115.23,7.8,67.1,88.0,4.1,0
2024-01-02 21:00:00,111.42,10.6,72.1,36.0,1.0,0
2024-01-02 22:00:00,137.23,8.9,69.4,80.0,3.1,0
2024-01-02 23:00:00,190.44,10.2,70.1,89.0,1.2,0
2024-01-03 00:00:00,124.81,6.7,64.4,47.0,2.3,0
2024-01-03 01:00:00,145.51,9.4,58.8,3.0,0.1,0
2024-01-03 02:00:00,144.84,10.6,67.2,77.0,0.7,0
2024-01-03 03:00:00,143.06,5.2,67.9,5.0,2.3,0
2024-01-03 04:00:00,198.55,9.3,56.7,80.0,0.9,0
2024-01-03 05:00:00,176.28,5.0,66.3,3.0,9.9,0
2024-01-03 06:00:00,187.35,10.0,60.8,16.0,0.9,0
2024-01-03 07:00:00,178.43,12.7,68.9,66.0,1.0,0
2024-01-03 08:00:00,214.19,10.5,59.2,36.0,4.3,0
2024-01-03 09:00:00,168.42,8.7,70.7,47.0,0.3,0
2024-01-03 10:00:00,116.17,4.3,65.6,40.0,2.9,0
2024-01-03 11:00:00,133.58,6.1,67.5,37.0,2.9,0
2024-01-03 12:00:00,158.01,7.4,61.9,7.0,3.1,0
2024-01-03 13:00:00,137.73,7.6,64.9,94.0,2.6,0
2024-01-03 14:00:00,147.35,3.7,77.5,94.0,1.5,0
2024-01-03 15:00:00,90.06,8.2,63.7,7.0,1.2,0
2024-01-03 16:00:00,109.72,9.9,68.6,63.0,6.3,0
2024-01-03 17:00:00,110.41,9.8,70.0,28.0,0.6,0
2024-01-03 18:00:00,135.68,9.2,66.7,37.0,4.5,0
2024-01-03 19:00:00,129.15,9.0,65.8,86.0,1.7,0
2024-01-03 20:00:00,140.87,9.8,73.4,32.0,6.8,0
2024-01-03 21:00:00,128.88,8.4,66.2,95.0,2.6,0
2024-01-03 22:00:00,117.23,13.7,61.8,67.0,4.2,0
2024-01-03 23:00:00,114.43,9.3,70.0,9.0,2.0,0
2024-01-04 00:00:00,137.54,5.3,71.7,35.0,0.4,0
2024-01-04 01:00:00,142.08,8.6,64.0,62.0,0.3,0
2024-01-04 02:00:00,155.59,5.9,64.5,8.0,12.9,0
2024-01-04 03:00:00,162.71,3.0,59.8,81.0,8.8,0
2024-01-04 04:00:00,155.61,6.7,68.4,42.0,7.1,0
2024-01-04 05:00:00,195.61,7.3,61.8,1.0,1.9,0
2024-01-04 06:00:00,184.62,4.9,69.4,96.0,1.4,0
2024-01-04 07:00:00,206.44,9.4,64.8,22.0,9.9,0
2024-01-04 08:00:00,185.71,7.4,67.3,97.0,2.2,0
2024-01-04 09:00:00,164.09,11.7,71.6,45.0,3.0,0
2024-01-04 10:00:00,177.87,7.9,77.8,28.0,0.6,0
2024-01-04 11:00:00,140.18,1.0,64.2,58.0,0.2,0
2024-01-04 12:00:00,145.69,13.0,71.6,68.0,0.5,0
2024-01-04 13:00:00,122.14,3.4,76.0,93.0,6.0,0
2024-01-04 14:00:00,141.25,6.0,58.3,97.0,5.5,0
2024-01-04 15:00:00,139.65,7.0,73.0,41.0,1.0,0
2024-01-04 16:00:00,118.63,7.5,64.6,45.0,0.4,0
2024-01-04 17:00:00,130.15,7.7,69.4,23.0,3.3,0
2024-01-04 18:00:00,101.46,11.2,68.5,52.0,4.4,0
2024-01-04 19:00:00,116.17,10.9,67.2,55.0,2.5,0
2024-01-04 20:00:00,124.75,10.3,70.1,70.0,0.7,0
2024-01-04 21:00:00,149.09,10.6,58.0,39.0,1.7,0
2024-01-04 22:00:00,125.46,9.5,74.3,40.0,2.9,0
2024-01-04 23:00:00,133.76,2.3,66.6,46.0,11.7,0
2024-01-05 00:00:00,105.39,7.1,60.3,8.0,0.4,0
2024-01-05 01:00:00,154.33,8.5,62.1,18.0,1.3,0
2024-01-05 02:00:00,150.98,10.2,61.9,19.0,0.1,0
2024-01-05 03:00:00,166.79,5.8,62.9,18.0,0.3,0
2024-01-05 04:00:00,164.79,4.3,64.1,50.0,3.5,0
2024-01-05 05:00:00,155.51,5.3,67.9,87.0,7.6,0
2024-01-05 06:00:00,178.09,6.7,69.9,18.0,0.7,0
2024-01-05 07:00:00,194.81,6.6,55.3,62.0,1.4,0
2024-01-05 08:00:00,207.03,6.6,69.7,51.0,2.3,0
2024-01-05 09:00:00,180.35,7.0,62.1,53.0,0.8,0
2024-01-05 10:00:00,153.44,3.1,63.6,12.0,6.6,0
2024-01-05 11:00:00,136.08,12.4,71.2,79.0,2.1,0
2024-01-05 12:00:00,141.72,4.8,74.4,43.0,0.4,0
2024-01-05 13:00:00,138.88,4.8,59.9,65.0,2.5,0
2024-01-05 14:00:00,102.58,9.1,63.6,19.0,1.0,0
2024-01-05 15:00:00,112.04,7.5,62.7,41.0,12.1,0
2024-01-05 16:00:00,114.97,4.7,63.9,17.0,3.3,0
2024-01-05 17:00:00,132.14,7.7,70.6,57.0,1.0,0
2024-01-05 18:00:00,114.53,9.1,63.0,51.0,0.8,0
2024-01-05 19:00:00,100.32,8.2,62.3,29.0,2.6,0
2024-01-05 20:00:00,127.5,3.7,63.6,34.0,0.4,0
2024-01-05 21:00:00,129.28,10.4,63.9,25.0,3.4,0
2024-01-05 22:00:00,137.45,11.7,54.5,35.0,8.0,0
2024-01-05 23:00:00,120.69,8.5,63.8,94.0,0.6,0
2024-01-06 00:00:00,117.7,6.9,72.7,14.0,4.8,0
2024-01-06 01:00:00,128.1,5.9,64.7,16.0,5.1,0
2024-01-06 02:00:00,136.26,13.6,71.2,39.0,5.1,0
2024-01-06 03:00:00,134.34,1.3,61.8,46.0,1.1,0
2024-01-06 04:00:00,146.67,12.4,68.5,38.0,2.4,0
2024-01-06 05:00:00,150.19,8.1,70.7,12.0,8.4,0
2024-01-06 06:00:00,137.6,10.8,68.5,62.0,2.3,0
2024-01-06 07:00:00,157.22,7.9,68.1,15.0,1.1,0
2024-01-06 08:00:00,174.81,4.8,67.2,76.0,6.3,0
2024-01-06 09:00:00,148.52,10.5,64.3,11.0,5.6,0
2024-01-06 10:00:00,140.74,4.4,64.6,23.0,3.8,0
2024-01-06 11:00:00,137.96,10.0,73.6,69.0,2.3,0
2024-01-06 12:00:00,108.95,3.6,57.9,46.0,8.8,0
2024-01-06 13:00:00,133.24,8.2,61.2,51.0,2.8,0
2024-01-06 14:00:00,105.2,9.6,69.2,71.0,0.5,0
2024-01-06 15:00:00,102.7,13.0,73.6,42.0,4.0,0
2024-01-06 16:00:00,83.71,7.0,67.1,59.0,1.5,0
2024-01-06 17:00:00,117.22,6.9,64.7,80.0,0.0,0
2024-01-06 18:00:00,89.29,2.4,70.9,35.0,1.3,0
2024-01-06 19:00:00,108.49,6.4,75.2,22.0,1.8,0
2024-01-06 20:00:00,104.8,6.6,53.3,91.0,1.4,0
2024-01-06 21:00:00,107.75,12.9,72.5,1.0,3.3,0
2024-01-06 22:00:00,105.47,4.1,79.7,7.0,4.2,0
